vref,Protasis,Protasis IDs,Protasis Glosses,Protasis Greek,Apodosis,Apodosis IDs,Apodosis Glosses,Apodosis Greek,result,Duplicates,Possible_Tokens
GAL 5:15,but if you bite and devour one another,"('n48005015001', 'n48005015005', 'n48005015003', 'n48005015004', 'n48005015006')","('If', 'and', 'one another', 'you bite', 'and')","('εἰ', 'καὶ', 'ἀλλήλους', 'δάκνετε', 'κατεσθίετε')",watch out that you are consumed by one another,"('n48005015007', 'n48005015008', 'n48005015009', 'n48005015010', 'n48005015011')","('take heed', 'lest', 'by', 'one another', 'you might be consumed')","('βλέπετε', 'μὴ', 'ὑπ’', 'ἀλλήλων', 'ἀναλωθῆτε')",pass,,"[('n48005015001', 'If', 'εἰ'), ('n48005015002', 'however', 'δὲ'), ('n48005015003', 'one another', 'ἀλλήλους'), ('n48005015004', 'you bite', 'δάκνετε'), ('n48005015005', 'and', 'καὶ'), ('n48005015006', 'devour', 'κατεσθίετε'), ('n48005015007', 'take heed', 'βλέπετε'), ('n48005015008', 'lest', 'μὴ'), ('n48005015009', 'by', 'ὑπ’'), ('n48005015010', 'one another', 'ἀλλήλων'), ('n48005015011', 'you might be consumed', 'ἀναλωθῆτε')]"
GAL 5:18,but if you are led by the Spirit,"('n48005018001', 'n48005018002', 'n48005018003', 'n48005018004')","('If', 'however', '[the] Spirit', 'you are led by')","('εἰ', 'δὲ', 'πνεύματι', 'ἄγεσθε')",you are not under the law,"('n48005018005', 'n48005018006', 'n48005018007', 'n48005018008')","('not', 'you are', 'under', '[the] Law')","('οὐ', 'ἐστὲ', 'ὑπὸ', 'νόμον')",pass,,"[('n48005018001', 'If', 'εἰ'), ('n48005018002', 'however', 'δὲ'), ('n48005018003', '[the] Spirit', 'πνεύματι'), ('n48005018004', 'you are led by', 'ἄγεσθε'), ('n48005018005', 'not', 'οὐ'), ('n48005018006', 'you are', 'ἐστὲ'), ('n48005018007', 'under', 'ὑπὸ'), ('n48005018008', '[the] Law', 'νόμον')]"
GAL 5:25,if we live by the Spirit,"('n48005025001', 'n48005025002', 'n48005025003')","('If', 'we live', 'by [the] Spirit')","('εἰ', 'ζῶμεν', 'πνεύματι')",let us also keep in step with the Spirit,"('n48005025005', 'n48005025006', 'n48005025003')","('also', 'we should walk', 'with the Spirit')","('καὶ', 'στοιχῶμεν', 'πνεύματι')",fail,,"[('n48005025001', 'If', 'εἰ'), ('n48005025002', 'we live', 'ζῶμεν'), ('n48005025003', 'by [the] Spirit', 'πνεύματι'), ('n48005025004', 'by [the] Spirit', 'πνεύματι'), ('n48005025005', 'also', 'καὶ'), ('n48005025006', 'we should walk', 'στοιχῶμεν')]"
GAL 6:1,if anyone is caught in transgression,"('n48006001002', 'n48006001005', 'n48006001007', 'n48006001008')","('if', 'a man', 'in', 'trespass')","('ἐὰν', 'ἄνθρωπος', 'τινι', 'παραπτώματι')",you who are spiritual should restore him in a spirit of gentleness,"('n48006001009', 'n48006001010', 'n48006001011', 'n48006001012', 'n48006001014', 'n48006001015', 'n48006001016', 'n48006001017')","('you', 'the', 'spiritual [ones]', 'restore', 'such a one', 'in', 'a spirit', 'of gentleness')","('ὑμεῖς', 'οἱ', 'πνευματικοὶ', 'καταρτίζετε', 'τοιοῦτον', 'ἐν', 'πνεύματι', 'πραΰτητος')",pass,Protasis IDs duplicated,"[('n48006001001', 'Brothers', 'Ἀδελφοί'), ('n48006001002', 'if', 'ἐὰν'), ('n48006001003', 'even', 'καὶ'), ('n48006001004', 'should be overcome', 'προλημφθῇ'), ('n48006001005', 'a man', 'ἄνθρωπος'), ('n48006001006', 'in', 'ἔν'), ('n48006001007', 'some', 'τινι'), ('n48006001008', 'trespass', 'παραπτώματι'), ('n48006001009', 'you', 'ὑμεῖς'), ('n48006001010', 'the', 'οἱ'), ('n48006001011', 'spiritual [ones]', 'πνευματικοὶ'), ('n48006001012', 'restore', 'καταρτίζετε'), ('n48006001013', '-', 'τὸν'), ('n48006001014', 'such a one', 'τοιοῦτον'), ('n48006001015', 'in', 'ἐν'), ('n48006001016', 'a spirit', 'πνεύματι'), ('n48006001017', 'of gentleness', 'πραΰτητος'), ('n48006001018', 'considering', 'σκοπῶν'), ('n48006001019', 'yourself', 'σεαυτόν'), ('n48006001020', 'lest', 'μὴ'), ('n48006001021', 'also', 'καὶ'), ('n48006001022', 'you', 'σὺ'), ('n48006001023', 'be tempted', 'πειρασθῇς')]"
GAL 6:3,"for if anyone thinks he is something, when he is nothing","('n48006003001', 'n48006003002', 'n48006003003', 'n48006003004', 'n48006003005', 'n48006003006', 'n48006003007', 'n48006003008')","('If', 'for', 'thinks [himself]', 'anyone', 'to be', 'something', 'nothing', 'being')","('εἰ', 'γὰρ', 'δοκεῖ', 'τις', 'εἶναί', 'τι', 'μηδὲν', 'ὤν')",he deceives himself,"('n48006003009', 'n48006003010')","('he deceives', 'himself')","('φρεναπατᾷ', 'ἑαυτόν')",pass,Protasis IDs duplicated,"[('n48006003001', 'If', 'εἰ'), ('n48006003002', 'for', 'γὰρ'), ('n48006003003', 'thinks [himself]', 'δοκεῖ'), ('n48006003004', 'anyone', 'τις'), ('n48006003005', 'to be', 'εἶναί'), ('n48006003006', 'something', 'τι'), ('n48006003007', 'nothing', 'μηδὲν'), ('n48006003008', 'being', 'ὤν'), ('n48006003009', 'he deceives', 'φρεναπατᾷ'), ('n48006003010', 'himself', 'ἑαυτόν')]"
GAL 1:7,but there are some who trouble you and want to distort the gospel of Christ,"('n48001007002', 'n48001007003', 'n48001007004', 'n48001007005', 'n48001007006', 'n48001007007', 'n48001007008', 'n48001007009', 'n48001007010', 'n48001007011', 'n48001007012', 'n48001007013', 'n48001007014', 'n48001007015', 'n48001007016', 'n48001007017', 'n48001007018')","('not', 'is', 'another', 'if', 'not', 'some', 'there are', 'who', 'are troubling', 'you', 'and', 'are desiring', 'to pervert', 'the', 'gospel', '-', 'of Christ')","('οὐ', 'ἔστιν', 'ἄλλο', 'εἰ', 'μή', 'τινές', 'εἰσιν', 'οἱ', 'ταράσσοντες', 'ὑμᾶς', 'καὶ', 'θέλοντες', 'μεταστρέψαι', 'τὸ', 'εὐαγγέλιον', 'τοῦ', 'Χριστοῦ')",not that there is another one,"('n48001007001',)","('which',)","('ὃ',)",pass,Protasis IDs duplicated,"[('n48001007001', 'which', 'ὃ'), ('n48001007002', 'not', 'οὐ'), ('n48001007003', 'is', 'ἔστιν'), ('n48001007004', 'another', 'ἄλλο'), ('n48001007005', 'if', 'εἰ'), ('n48001007006', 'not', 'μή'), ('n48001007007', 'some', 'τινές'), ('n48001007008', 'there are', 'εἰσιν'), ('n48001007009', 'who', 'οἱ'), ('n48001007010', 'are troubling', 'ταράσσοντες'), ('n48001007011', 'you', 'ὑμᾶς'), ('n48001007012', 'and', 'καὶ'), ('n48001007013', 'are desiring', 'θέλοντες'), ('n48001007014', 'to pervert', 'μεταστρέψαι'), ('n48001007015', 'the', 'τὸ'), ('n48001007016', 'gospel', 'εὐαγγέλιον'), ('n48001007017', '-', 'τοῦ'), ('n48001007018', 'of Christ', 'Χριστοῦ')]"
GAL 1:19,except James that Lord's brother,"('n48001019001', 'n48001019002', 'n48001019003', 'n48001019004', 'n48001019005', 'n48001019006')","('Other', 'however', 'of the', 'apostles', 'none', 'I saw')","('ἕτερον', 'δὲ', 'τῶν', 'ἀποστόλων', 'οὐ', 'εἶδον')",but I saw none of the other apostles,"('n48001019007', 'n48001019008', 'n48001019009', 'n48001019010', 'n48001019011', 'n48001019012', 'n48001019013')","('if', 'not', 'James', 'the', 'brother', 'of the', 'Lord')","('εἰ', 'μὴ', 'Ἰάκωβον', 'τὸν', 'ἀδελφὸν', 'τοῦ', 'κυρίου')",pass,Protasis IDs duplicated,"[('n48001019001', 'Other', 'ἕτερον'), ('n48001019002', 'however', 'δὲ'), ('n48001019003', 'of the', 'τῶν'), ('n48001019004', 'apostles', 'ἀποστόλων'), ('n48001019005', 'none', 'οὐ'), ('n48001019006', 'I saw', 'εἶδον'), ('n48001019007', 'if', 'εἰ'), ('n48001019008', 'not', 'μὴ'), ('n48001019009', 'James', 'Ἰάκωβον'), ('n48001019010', 'the', 'τὸν'), ('n48001019011', 'brother', 'ἀδελφὸν'), ('n48001019012', 'of the', 'τοῦ'), ('n48001019013', 'Lord', 'κυρίου')]"
GAL 2:16,but through faith in Jesus Christ,"('n48002016002', 'n48002016003', 'n48002016004', 'n48002016005', 'n48002016006', 'n48002016007', 'n48002016008', 'n48002016009')","('nevertheless', 'that', 'not', 'is justified', 'a man', 'by', 'works', 'of law')","('δὲ', 'ὅτι', 'οὐ', 'δικαιοῦται', 'ἄνθρωπος', 'ἐξ', 'ἔργων', 'νόμου')",yet we know that a person is not justified by works of the law,"('n48002016010', 'n48002016011', 'n48002016012', 'n48002016013', 'n48002016014', 'n48002016015')","('if', 'not', 'through', 'faith', 'from Jesus', 'Christ')","('ἐὰν', 'μὴ', 'διὰ', 'πίστεως', 'Ἰησοῦ', 'Χριστοῦ')",fail,,"[('n48002016001', 'knowing', 'εἰδότες'), ('n48002016002', 'nevertheless', 'δὲ'), ('n48002016003', 'that', 'ὅτι'), ('n48002016004', 'not', 'οὐ'), ('n48002016005', 'is justified', 'δικαιοῦται'), ('n48002016006', 'a man', 'ἄνθρωπος'), ('n48002016007', 'by', 'ἐξ'), ('n48002016008', 'works', 'ἔργων'), ('n48002016009', 'of law', 'νόμου'), ('n48002016010', 'if', 'ἐὰν'), ('n48002016011', 'not', 'μὴ'), ('n48002016012', 'through', 'διὰ'), ('n48002016013', 'faith', 'πίστεως'), ('n48002016014', 'from Jesus', 'Ἰησοῦ'), ('n48002016015', 'Christ', 'Χριστοῦ'), ('n48002016016', 'even', 'καὶ'), ('n48002016017', 'we', 'ἡμεῖς'), ('n48002016018', 'in', 'εἰς'), ('n48002016019', 'Christ', 'Χριστὸν'), ('n48002016020', 'Jesus', 'Ἰησοῦν'), ('n48002016021', 'have believed', 'ἐπιστεύσαμεν'), ('n48002016022', 'that', 'ἵνα'), ('n48002016023', 'we may be justified', 'δικαιωθῶμεν'), ('n48002016024', 'by', 'ἐκ'), ('n48002016025', 'faith', 'πίστεως'), ('n48002016026', 'from Christ', 'Χριστοῦ'), ('n48002016027', 'and', 'καὶ'), ('n48002016028', 'not', 'οὐ'), ('n48002016029', 'by', 'ἐξ'), ('n48002016030', 'works', 'ἔργων'), ('n48002016031', 'of the Law', 'νόμου'), ('n48002016032', 'because', 'ὅτι'), ('n48002016033', 'by', 'ἐξ'), ('n48002016034', 'works', 'ἔργων'), ('n48002016035', 'of the Law', 'νόμου'), ('n48002016036', 'not', 'οὐ'), ('n48002016037', 'will be justified', 'δικαιωθήσεται'), ('n48002016038', 'any', 'πᾶσα'), ('n48002016039', 'flesh', 'σάρξ')]"
GAL 5:10,whoever he is,"('n48005010018', 'n48005010019', 'n48005010020')","('whoever', 'if', 'he might be')","('ὅστις', 'ἐὰν', 'ᾖ')",and the one troubling you will bear the penalty,"('n48005010011', 'n48005010012', 'n48005010013', 'n48005010014', 'n48005010015', 'n48005010016', 'n48005010017')","('The [one]', 'however', 'troubling', 'you', 'will bear', 'the', 'judgment')","('ὁ', 'δὲ', 'ταράσσων', 'ὑμᾶς', 'βαστάσει', 'τὸ', 'κρίμα')",pass,,"[('n48005010001', 'I', 'ἐγὼ'), ('n48005010002', 'am confident', 'πέποιθα'), ('n48005010003', 'as to', 'εἰς'), ('n48005010004', 'you', 'ὑμᾶς'), ('n48005010005', 'in', 'ἐν'), ('n48005010006', '[the] Lord', 'κυρίῳ'), ('n48005010007', 'that', 'ὅτι'), ('n48005010008', 'no', 'οὐδὲν'), ('n48005010009', 'other', 'ἄλλο'), ('n48005010010', 'mind will you have', 'φρονήσετε'), ('n48005010011', 'The [one]', 'ὁ'), ('n48005010012', 'however', 'δὲ'), ('n48005010013', 'troubling', 'ταράσσων'), ('n48005010014', 'you', 'ὑμᾶς'), ('n48005010015', 'will bear', 'βαστάσει'), ('n48005010016', 'the', 'τὸ'), ('n48005010017', 'judgment', 'κρίμα'), ('n48005010018', 'whoever', 'ὅστις'), ('n48005010019', 'if', 'ἐὰν'), ('n48005010020', 'he might be', 'ᾖ')]"
GAL 5:17,NaN,"('n48005017020', 'n48005017021', 'n48005017022', 'n48005017023')","('that', 'if', 'you might wish', 'those things')","('ἃ', 'ἐὰν', 'θέλητε', 'ταῦτα')",NaN,"('n48005017017', 'n48005017018', 'n48005017019', 'n48005017024')","('are opposed', 'in order', 'not', 'you should do')","('ἀντίκειται', 'ἵνα', 'μὴ', 'ποιῆτε')",fail,,"[('n48005017001', 'The', 'ἡ'), ('n48005017002', 'for', 'γὰρ'), ('n48005017003', 'flesh', 'σὰρξ'), ('n48005017004', 'desires', 'ἐπιθυμεῖ'), ('n48005017005', 'against', 'κατὰ'), ('n48005017006', 'the', 'τοῦ'), ('n48005017007', 'Spirit', 'πνεύματος'), ('n48005017008', '-', 'τὸ'), ('n48005017009', 'and', 'δὲ'), ('n48005017010', 'the Spirit', 'πνεῦμα'), ('n48005017011', 'against', 'κατὰ'), ('n48005017012', 'the', 'τῆς'), ('n48005017013', 'flesh', 'σαρκός'), ('n48005017014', 'these', 'ταῦτα'), ('n48005017015', 'for', 'γὰρ'), ('n48005017016', 'to one another', 'ἀλλήλοις'), ('n48005017017', 'are opposed', 'ἀντίκειται'), ('n48005017018', 'in order', 'ἵνα'), ('n48005017019', 'not', 'μὴ'), ('n48005017020', 'that', 'ἃ'), ('n48005017021', 'if', 'ἐὰν'), ('n48005017022', 'you might wish', 'θέλητε'), ('n48005017023', 'those things', 'ταῦτα'), ('n48005017024', 'you should do', 'ποιῆτε')]"
GAL 6:7,for whatever one sows,"('n48006007007', 'n48006007006', 'n48006007008', 'n48006007009', 'n48006007010')","('for', 'Whatever', 'if', 'might sow', 'a man')","('γὰρ', 'ὃ', 'ἐὰν', 'σπείρῃ', 'ἄνθρωπος')",that he will also reap,"('n48006007011', 'n48006007012', 'n48006007013')","('that', 'also', 'he will reap')","('τοῦτο', 'καὶ', 'θερίσει')",pass,,"[('n48006007001', 'Not', 'μὴ'), ('n48006007002', 'be misled', 'πλανᾶσθε'), ('n48006007003', 'God', 'θεὸς'), ('n48006007004', 'not', 'οὐ'), ('n48006007005', 'is mocked', 'μυκτηρίζεται'), ('n48006007006', 'Whatever', 'ὃ'), ('n48006007007', 'for', 'γὰρ'), ('n48006007008', 'if', 'ἐὰν'), ('n48006007009', 'might sow', 'σπείρῃ'), ('n48006007010', 'a man', 'ἄνθρωπος'), ('n48006007011', 'that', 'τοῦτο'), ('n48006007012', 'also', 'καὶ'), ('n48006007013', 'he will reap', 'θερίσει')]"
GAL 6:14,except in the cross of Jesus our Lord,"('n48006014006', 'n48006014007', 'n48006014008', 'n48006014009', 'n48006014010', 'n48006014011', 'n48006014012', 'n48006014013', 'n48006014014', 'n48006014015')","('if', 'never', 'in', 'the', 'cross', 'of the', 'Lord', 'of us', 'Jesus', 'Christ')","('εἰ', 'μὴ', 'ἐν', 'τῷ', 'σταυρῷ', 'τοῦ', 'κυρίου', 'ἡμῶν', 'Ἰησοῦ', 'Χριστοῦ')",but far be it from me to boast,"('n48006014001', 'n48006014002', 'n48006014003', 'n48006014004', 'n48006014005')","('For me', 'however', 'never', 'may it be', 'to boast')","('ἐμοὶ', 'δὲ', 'μὴ', 'γένοιτο', 'καυχᾶσθαι')",pass,,"[('n48006014001', 'For me', 'ἐμοὶ'), ('n48006014002', 'however', 'δὲ'), ('n48006014003', 'never', 'μὴ'), ('n48006014004', 'may it be', 'γένοιτο'), ('n48006014005', 'to boast', 'καυχᾶσθαι'), ('n48006014006', 'if', 'εἰ'), ('n48006014007', 'never', 'μὴ'), ('n48006014008', 'in', 'ἐν'), ('n48006014009', 'the', 'τῷ'), ('n48006014010', 'cross', 'σταυρῷ'), ('n48006014011', 'of the', 'τοῦ'), ('n48006014012', 'Lord', 'κυρίου'), ('n48006014013', 'of us', 'ἡμῶν'), ('n48006014014', 'Jesus', 'Ἰησοῦ'), ('n48006014015', 'Christ', 'Χριστοῦ'), ('n48006014016', 'through', 'δι’'), ('n48006014017', 'which', 'οὗ'), ('n48006014018', 'to me', 'ἐμοὶ'), ('n48006014019', '[the] world', 'κόσμος'), ('n48006014020', 'has been crucified', 'ἐσταύρωται'), ('n48006014021', 'and I', 'κἀγὼ'), ('n48006014022', '[to the] world', 'κόσμῳ')]"
EPH 4:20,"if indeed you have heard Him and have been taught in Him, just as truth is in Jesus...","('n49004020001', 'n49004020002', 'n49004020003', 'n49004020004', 'n49004020005', 'n49004020006', 'n49004020007')","('You', 'however', 'not', 'this way', 'learned', '-', 'Christ')","('ὑμεῖς', 'δὲ', 'οὐ', 'οὕτως', 'ἐμάθετε', 'τὸν', 'Χριστόν')",you did not learn Christ in this way,"('n49004020005', 'n49004020006', 'n49004020007', 'n49004020008', 'n49004020009', 'n49004020010', 'n49004020011', 'n49004020012')","('heard', 'and', 'have been taught', 'in Him', 'just as', 'truth', 'is in', 'Jesus')","('ἀκηκόατε', 'καὶ', 'ἐδιδάχθητε', 'ἐν αὐτῷ', 'καθώς', 'ἀλήθεια', 'ἐστιν', 'Ἰησοῦ')",fail,,"[('n49004020001', 'You', 'ὑμεῖς'), ('n49004020002', 'however', 'δὲ'), ('n49004020003', 'not', 'οὐ'), ('n49004020004', 'this way', 'οὕτως'), ('n49004020005', 'learned', 'ἐμάθετε'), ('n49004020006', '-', 'τὸν'), ('n49004020007', 'Christ', 'Χριστόν')]"
EPH 3:2,if indeed you have heard of the stewardship of God’s grace which was given to me for you...,"('n49003002001', 'n49003002002', 'n49003002003', 'n49003002004', 'n49003002005', 'n49003002006', 'n49003002007', 'n49003002008', 'n49003002009', 'n49003002010', 'n49003002011', 'n49003002012', 'n49003002013', 'n49003002014')","('If', 'indeed', 'you have heard of', 'the', 'administration', 'of the', 'grace', '-', 'of God', '-', 'having been given', 'to me', 'toward', 'you')","('εἴ', 'γε', 'ἠκούσατε', 'τὴν', 'οἰκονομίαν', 'τῆς', 'χάριτος', 'τοῦ', 'θεοῦ', 'τῆς', 'δοθείσης', 'μοι', 'εἰς', 'ὑμᾶς')",NaN,"('',)","('',)","('',)",pass,,"[('n49003002001', 'If', 'εἴ'), ('n49003002002', 'indeed', 'γε'), ('n49003002003', 'you have heard of', 'ἠκούσατε'), ('n49003002004', 'the', 'τὴν'), ('n49003002005', 'administration', 'οἰκονομίαν'), ('n49003002006', 'of the', 'τῆς'), ('n49003002007', 'grace', 'χάριτος'), ('n49003002008', '-', 'τοῦ'), ('n49003002009', 'of God', 'θεοῦ'), ('n49003002010', '-', 'τῆς'), ('n49003002011', 'having been given', 'δοθείσης'), ('n49003002012', 'to me', 'μοι'), ('n49003002013', 'toward', 'εἰς'), ('n49003002014', 'you', 'ὑμᾶς')]"
EPH 4:9,"...but that he had also descended into the lower regions, the earth?","('n49004009006', 'n49004009007', 'n49004009008', 'n49004009009', 'n49004009010', 'n49004009011', 'n49004009012', 'n49004009013', 'n49004009014', 'n49004009015', 'n49004009016')","('if', 'not', 'that', 'also', 'He descended', 'into', 'the', 'lower', 'regions', 'of the', 'earth')","('εἰ', 'μὴ', 'ὅτι', 'καὶ', 'κατέβη', 'εἰς', 'τὰ', 'κατώτερα', 'μέρη', 'τῆς', 'γῆς')","in saying, 'He ascended,' what does it mean...","('n49004009002', 'n49004009003', 'n49004009004', 'n49004009005')","('And', 'He ascended', 'what', 'is')","('δὲ', 'Ἀνέβη', 'τί', 'ἐστιν')",pass,Protasis IDs duplicated,"[('n49004009001', '-', 'τὸ'), ('n49004009002', 'And', 'δὲ'), ('n49004009003', 'He ascended', 'Ἀνέβη'), ('n49004009004', 'what', 'τί'), ('n49004009005', 'is', 'ἐστιν'), ('n49004009006', 'if', 'εἰ'), ('n49004009007', 'not', 'μὴ'), ('n49004009008', 'that', 'ὅτι'), ('n49004009009', 'also', 'καὶ'), ('n49004009010', 'He descended', 'κατέβη'), ('n49004009011', 'into', 'εἰς'), ('n49004009012', 'the', 'τὰ'), ('n49004009013', 'lower', 'κατώτερα'), ('n49004009014', 'regions', 'μέρη'), ('n49004009015', 'of the', 'τῆς'), ('n49004009016', 'earth', 'γῆς')]"
EPH 4:29,but only such as is good for building up,"('n49004029010', 'n49004029011', 'n49004029012', 'n49004029013', 'n49004029014', 'n49004029015', 'n49004029016', 'n49004029017')","('but', 'if', 'any', 'good', 'for', 'edification', 'of the', 'need')","('ἀλλὰ', 'εἴ', 'τις', 'ἀγαθὸς', 'πρὸς', 'οἰκοδομὴν', 'τῆς', 'χρείας')",let no corrupting talk come out of your mouths,"('n49004029001', 'n49004029002', 'n49004029003', 'n49004029004', 'n49004029005', 'n49004029006', 'n49004029007', 'n49004029008', 'n49004029009')","('Any', 'word', 'unwholesome', 'out of', 'the', 'mouth', 'of you', 'not', 'let go forth')","('πᾶς', 'λόγος', 'σαπρὸς', 'ἐκ', 'τοῦ', 'στόματος', 'ὑμῶν', 'μὴ', 'ἐκπορευέσθω')",pass,Protasis IDs duplicated,"[('n49004029001', 'Any', 'πᾶς'), ('n49004029002', 'word', 'λόγος'), ('n49004029003', 'unwholesome', 'σαπρὸς'), ('n49004029004', 'out of', 'ἐκ'), ('n49004029005', 'the', 'τοῦ'), ('n49004029006', 'mouth', 'στόματος'), ('n49004029007', 'of you', 'ὑμῶν'), ('n49004029008', 'not', 'μὴ'), ('n49004029009', 'let go forth', 'ἐκπορευέσθω'), ('n49004029010', 'but', 'ἀλλὰ'), ('n49004029011', 'if', 'εἴ'), ('n49004029012', 'any', 'τις'), ('n49004029013', 'good', 'ἀγαθὸς'), ('n49004029014', 'for', 'πρὸς'), ('n49004029015', 'edification', 'οἰκοδομὴν'), ('n49004029016', 'of the', 'τῆς'), ('n49004029017', 'need', 'χρείας'), ('n49004029018', 'so that', 'ἵνα'), ('n49004029019', 'it may give', 'δῷ'), ('n49004029020', 'grace', 'χάριν'), ('n49004029021', 'to those', 'τοῖς'), ('n49004029022', 'hearing', 'ἀκούουσιν')]"
EPH 6:8,whether he is a bondservant or is free,"('n49006008012', 'n49006008013', 'n49006008014', 'n49006008015')","('whether', 'slave', 'or', 'free')","('εἴτε', 'δοῦλος', 'εἴτε', 'ἐλεύθερος')","knowing that whatever good he does, this he will receive back from the Lord","('n49006008001', 'n49006008002', 'n49006008003', 'n49006008004', 'n49006008005', 'n49006008006', 'n49006008007', 'n49006008008', 'n49006008009', 'n49006008010', 'n49006008011')","('knowing', 'that', 'each one', 'ὃ', 'ἂν', 'he might have done', 'good', 'this', 'he will receive [back]', 'from', '[the] Lord')","('εἰδότες', 'ὅτι', 'ἕκαστος', 'n49006008004', 'n49006008005', 'ποιήσῃ', 'ἀγαθόν', 'τοῦτο', 'κομίσεται', 'παρὰ', 'κυρίου')",pass,,"[('n49006008001', 'knowing', 'εἰδότες'), ('n49006008002', 'that', 'ὅτι'), ('n49006008003', 'each one', 'ἕκαστος'), ('n49006008004', nan, 'ὃ'), ('n49006008005', nan, 'ἂν'), ('n49006008006', 'he might have done', 'ποιήσῃ'), ('n49006008007', 'good', 'ἀγαθόν'), ('n49006008008', 'this', 'τοῦτο'), ('n49006008009', 'he will receive [back]', 'κομίσεται'), ('n49006008010', 'from', 'παρὰ'), ('n49006008011', '[the] Lord', 'κυρίου'), ('n49006008012', 'whether', 'εἴτε'), ('n49006008013', 'slave', 'δοῦλος'), ('n49006008014', 'or', 'εἴτε'), ('n49006008015', 'free', 'ἐλεύθερος')]"
PHP 1:22,if I am to live in the flesh,"('n50001022001', 'n50001022005', 'n50001022006')","('If [I am]', 'in', 'flesh')","('εἰ', 'ἐν', 'σαρκί')",that means fruitful labour for me,"('n50001022009', 'n50001022010')","('[is the] fruit', 'of labor')","('καρπὸς', 'ἔργου')",pass,,"[('n50001022001', 'If [I am]', 'εἰ'), ('n50001022002', 'however', 'δὲ'), ('n50001022003', '-', 'τὸ'), ('n50001022004', 'to live', 'ζῆν'), ('n50001022005', 'in', 'ἐν'), ('n50001022006', 'flesh', 'σαρκί'), ('n50001022007', 'this', 'τοῦτό'), ('n50001022008', 'for me', 'μοι'), ('n50001022009', '[is the] fruit', 'καρπὸς'), ('n50001022010', 'of labor', 'ἔργου'), ('n50001022011', 'And', 'καὶ'), ('n50001022012', 'what', 'τί'), ('n50001022013', 'shall I choose', 'αἱρήσομαι'), ('n50001022014', 'Not', 'οὐ'), ('n50001022015', 'I know', 'γνωρίζω')]"
PHP 2:1,"if there is any encouragement in Christ, if there is any consolation of love, if there is any fellowship of the Spirit, if any affection and compassion","('n50002001001', 'n50002001002', 'n50002001003', 'n50002001004', 'n50002001005', 'n50002001006', 'n50002001007', 'n50002001008', 'n50002001009', 'n50002001010', 'n50002001011', 'n50002001012', 'n50002001013', 'n50002001014', 'n50002001015', 'n50002001016', 'n50002001017', 'n50002001018', 'n50002001019')","('If [there is]', 'any', 'therefore', 'encouragement', 'in', 'Christ', 'if', 'any', 'comfort', 'of love', 'if', 'any', 'fellowship', 'of [the] Spirit', 'if', 'any', 'affections', 'and', 'compassions')","('Εἴ', 'τις', 'οὖν', 'παράκλησις', 'ἐν', 'Χριστῷ', 'εἴ', 'τι', 'παραμύθιον', 'ἀγάπης', 'εἴ', 'τις', 'κοινωνία', 'πνεύματος', 'εἴ', 'τις', 'σπλάγχνα', 'καὶ', 'οἰκτιρμοί')","make my joy complete by being of the same mind, maintaining the same love, united in spirit, intent on one purpose","('n50002001020', 'n50002001021', 'n50002001022', 'n50002001023', 'n50002001024', 'n50002001025', 'n50002001026', 'n50002001027', 'n50002001028', 'n50002001029', 'n50002001030', 'n50002001031', 'n50002001032', 'n50002001033')","('make', 'my', 'joy', 'complete', 'by being', 'of the same mind', 'maintaining', 'the same', 'love', 'united', 'in spirit', 'intent on', 'one', 'purpose')","('πληρώσατέ', 'μου', 'χαρὰν', 'πληρώσατε', 'τὸ', 'αὐτὸ', 'ἔχοντες', 'τὴν', 'ἀγάπην', 'σύμψυχοι', 'σύμψυχοι', 'τὸ', 'ἓν', 'φρονοῦντες')",pass,,"[('n50002001001', 'If [there is]', 'Εἴ'), ('n50002001002', 'any', 'τις'), ('n50002001003', 'therefore', 'οὖν'), ('n50002001004', 'encouragement', 'παράκλησις'), ('n50002001005', 'in', 'ἐν'), ('n50002001006', 'Christ', 'Χριστῷ'), ('n50002001007', 'if', 'εἴ'), ('n50002001008', 'any', 'τι'), ('n50002001009', 'comfort', 'παραμύθιον'), ('n50002001010', 'of love', 'ἀγάπης'), ('n50002001011', 'if', 'εἴ'), ('n50002001012', 'any', 'τις'), ('n50002001013', 'fellowship', 'κοινωνία'), ('n50002001014', 'of [the] Spirit', 'πνεύματος'), ('n50002001015', 'if', 'εἴ'), ('n50002001016', 'any', 'τις'), ('n50002001017', 'affections', 'σπλάγχνα'), ('n50002001018', 'and', 'καὶ'), ('n50002001019', 'compassions', 'οἰκτιρμοί')]"
